pintr_dif,O_sd,C_sd,E_sd,A_sd,N_sd,male,leeftijd,oplzon,ideology,ay09a018,ay09b018,cp09b024,cp09b034,cp09b044,cp09b054,cp09b059,cp09b064,cp09b069,cp09b029rc,cp09b039rc,cp09b049rc
0,0.5283333539666397,-0.47838876947494313,-0.6895353296812191,-0.4894335503882258,0.16947616945045924,0,64,6,3,5,5,4,4,4,4,4,3,3,5,5,4
-1,-0.08726471193566841,0.09286570329461427,0.025254586148818092,0.3319409422353186,-0.05704159010686648,0,44,6,7,4,5,4,1,3,4,2,5,2,4,5,4
-1,-0.18986438958605312,-0.19276153309016442,0.18409678966660414,0.3319409422353186,0.018464329745575422,0,48,2,NA,2,3,4,3,3,4,3,4,3,3,2,4
2,0.015334965714716276,0.1880747820895405,0.5017811967021762,-0.5921053619661688,0.5470057687126687,1,44,4,4,4,2,2,5,4,4,2,3,4,4,2,5
1,-0.3950637448868225,-0.19276153309016442,0.18409678966660414,0.5372845653912047,0.16947616945045924,0,19,3,NA,2,1,3,4,3,4,2,3,2,3,3,4
3,0.22053432101548567,0.1880747820895405,0.6606234002199622,0.6399563769691478,-0.2080534298117503,0,58,5,7,5,2,4,4,3,3,3,2,4,4,5,5
2,0.22053432101548567,-0.002343375500311962,0.10467568790771112,0.02392550750148947,-0.3590652695166341,0,58,5,3,6,4,4,3,4,4,3,4,4,4,3,4
1,0.015334965714716276,0.4737020184743192,-0.530693126163433,0.22926913065737559,-0.28355934966419216,0,57,4,4,5,4,4,3,4,4,3,4,4,2,3,4
1,-0.3950637448868225,-0.19276153309016442,0.10467568790771112,0.12659731907943253,-0.8121007886312855,1,69,3,6,7,6,4,3,3,4,3,4,3,2,2,3
2,-0.08726471193566841,-0.28797061188509065,0.18409678966660414,0.12659731907943253,-0.1325475099593084,1,56,4,4,6,4,4,4,4,4,1,4,4,4,3,2
1,0.5283333539666397,-0.28797061188509065,-0.45127202440454,0.02392550750148947,0.7735235282699945,1,52,6,6,6,5,5,4,4,5,3,4,4,4,2,5
0,0.7335327092674091,0.7593292548590979,0.26351789142549714,0.7426281885470909,0.3959939290077849,0,68,2,4,6,6,4,4,4,4,4,4,5,4,4,5
0,-0.3950637448868225,-0.09755245429523819,0.025254586148818092,-0.07874630407645358,-0.7365948687788436,0,46,6,3,5,5,4,2,3,4,2,4,2,4,3,3
0,0.8361323869177938,0.8545383336540241,-0.21300871912786096,0.6399563769691478,-0.8876067084837274,1,49,4,8,7,7,5,1,5,5,2,5,5,5,5,5
0,-0.3950637448868225,0.37849293967939296,-0.371850922645647,0.22926913065737559,-0.5100771092215178,0,38,5,7,4,4,4,2,3,4,1,4,3,3,3,4
2,-0.6002631001875919,-0.5735978482698694,0.5017811967021762,0.7426281885470909,0.3959939290077849,0,74,2,5,4,2,3,4,4,4,1,3,4,1,1,4
-1,-0.8054624554883613,-0.6688069270647956,0.26351789142549714,0.12659731907943253,-0.28355934966419216,0,32,5,5,4,5,3,3,4,2,2,3,3,2,3,2
0,-0.3950637448868225,-0.19276153309016442,-0.45127202440454,-0.38676173881028275,0.6980176084175526,1,53,2,5,6,6,4,2,3,4,4,4,2,2,4,2
1,-0.7028627778379766,-0.3831796906800169,0.26351789142549714,-0.07874630407645358,0.32048800915534303,1,69,2,5,6,5,3,3,3,4,2,2,3,3,3,2
0,-0.3950637448868225,-0.5735978482698694,-0.45127202440454,-0.5921053619661688,-0.1325475099593084,1,37,5,7,5,5,4,3,3,3,3,3,3,4,3,2
0,0.22053432101548567,-0.7640160058597218,0.5812022984610692,0.22926913065737559,-0.5100771092215178,0,30,5,2,4,4,5,3,4,5,3,4,3,3,3,4
2,0.32313399866587034,-0.09755245429523819,0.3429389931843902,0.02392550750148947,0.9245353679748782,0,54,2,4,4,2,4,4,4,4,4,4,4,3,3,4
0,-0.08726471193566841,-0.002343375500311962,0.3429389931843902,0.02392550750148947,-0.1325475099593084,1,47,2,6,6,6,4,3,3,4,3,4,3,4,4,2
0,-0.18986438958605312,-0.002343375500311962,0.10467568790771112,-0.07874630407645358,-0.43457118936907596,1,61,5,4,2,2,3,3,4,4,3,4,3,3,2,4
0,0.015334965714716276,-0.002343375500311962,0.4223600949432832,-0.900120796699998,-0.28355934966419216,1,36,4,NA,3,3,4,4,4,4,2,4,4,3,2,4
1,0.8361323869177938,0.5689110972692454,1.2959922142911064,0.7426281885470909,-0.8876067084837274,0,46,4,6,4,3,5,5,4,5,4,2,3,5,5,5
2,0.22053432101548567,0.4737020184743192,0.18409678966660414,0.02392550750148947,-0.5100771092215178,0,45,5,NA,6,4,4,2,4,4,3,4,4,4,4,4
0,0.22053432101548567,0.1880747820895405,-0.13358761736896796,-0.28408992723233967,0.32048800915534303,0,32,5,6,2,2,4,3,4,4,3,4,4,4,4,3
0,-1.3184608437402847,0.1880747820895405,-0.054166515610074926,0.12659731907943253,0.018464329745575422,0,64,4,5,1,1,2,1,2,3,2,2,3,4,2,1
-1,-0.2924640672364378,0.2832838608844667,0.26351789142549714,0.22926913065737559,-0.28355934966419216,0,69,2,5,4,5,4,5,3,4,1,4,3,3,3,2
2,0.5283333539666397,0.1880747820895405,-0.054166515610074926,-1.105464419855884,0.16947616945045924,1,41,6,4,7,5,4,4,4,5,4,4,3,4,4,4
0,-1.0106618107891308,0.2832838608844667,-0.21300871912786096,0.02392550750148947,0.09397024959801732,0,57,2,2,4,4,2,2,3,2,2,4,2,2,2,4
0,-0.3950637448868225,0.09286570329461427,-0.292429820886754,0.12659731907943253,-0.1325475099593084,0,58,2,7,4,4,4,3,2,3,1,4,2,4,4,4
0,0.22053432101548567,-0.8592250846546481,0.5812022984610692,0.02392550750148947,0.7735235282699945,0,18,5,8,2,2,3,4,4,4,2,4,4,4,4,4
1,0.11793464336510097,-0.6688069270647956,-0.21300871912786096,0.8453000001250339,0.6225116885651106,0,66,5,5,4,3,5,4,3,4,3,4,3,3,3,4
0,-0.08726471193566841,0.9497474124489503,0.8194656037377483,0.8453000001250339,-0.1325475099593084,0,53,3,7,4,4,4,2,4,4,4,4,4,2,2,4
0,0.9387320645681785,-0.5735978482698694,-0.6895353296812191,-0.4894335503882258,-0.5855830290739598,1,19,3,NA,5,5,4,5,5,5,4,5,5,3,3,5
-1,-0.18986438958605312,-0.002343375500311962,-0.45127202440454,0.02392550750148947,-0.05704159010686648,0,26,4,NA,2,3,4,3,3,4,2,3,3,4,3,4
0,-0.4976634225372072,-0.6688069270647956,0.025254586148818092,-0.18141811565439664,0.7735235282699945,1,71,4,NA,4,4,2,3,2,3,3,3,3,4,4,3
2,0.015334965714716276,-0.5735978482698694,-0.6895353296812191,-0.18141811565439664,0.47149984886022683,0,49,5,5,4,2,3,4,3,4,3,4,4,4,3,3
1,-0.3950637448868225,0.8545383336540241,-0.21300871912786096,-0.07874630407645358,-0.43457118936907596,0,42,5,8,2,1,4,2,2,3,2,4,4,5,3,2
0,-0.4976634225372072,-0.6688069270647956,-0.7689564314401122,-1.5161516661676564,0.6225116885651106,1,45,6,4,4,4,2,3,3,4,2,3,3,4,3,3
1,0.11793464336510097,0.09286570329461427,-1.0072197367167912,-1.002792608277941,-0.8876067084837274,0,40,6,NA,2,1,4,2,5,5,2,5,2,5,4,2
0,0.32313399866587034,0.8545383336540241,-0.9277986349578982,0.02392550750148947,-0.1325475099593084,1,76,1,8,1,1,3,4,4,5,1,5,4,4,4,4
