terror,placebo,pintr,pintr_placebo,male,age,edu,party,O_sd,C_sd,E_sd,A_sd,N_sd,optrt5o1,optrt5o2,optrt5o3
NA,NA,-0,-0,1,34,6,-1,-0.29580842807471425,0.32031006951476154,0.23839353365412075,0.10314612719126968,-0.2461012273319995,5,2,4
NA,NA,1,NA,0,29,7,-8,-0.430794868276747,0.32031006951476154,0.23839353365412075,0.2682413355085094,-0.3723750137593072,3,3,4
0,NA,2,2,0,84,12,-8,-0.5657813084787797,-1.0540463122275376,0.09704007886863153,-0.22704428944320984,-0.3723750137593072,2,1,6
NA,1,2,2,0,74,3,3,-0.5657813084787797,-0.7486337829514711,-0.6097271950588146,-0.5572347060776893,0.13272013194992371,2,3,4
NA,1,1,1,1,52,12,-8,-0.7007677486808125,-0.9013400475895043,-0.4683737402733254,-0.8874251227121689,0.006446345522615976,2,3,3
NA,1,1,1,0,44,9,-8,-0.5657813084787797,-0.2905149890373714,-0.044313375916857696,-0.3921394977604496,0.2589939183772314,2,4,3
NA,NA,-0,2,1,70,12,-8,-0.5657813084787797,0.32031006951476154,0.23839353365412075,0.4333365438257492,-0.8774701594685381,3,3,3
NA,NA,1,2,0,63,4,-8,1.054055973945613,0.625722598790828,0.8038073527960776,0.7635269604602287,-0.7511963730412304,7,7,7
NA,NA,1,-0,0,38,4,-8,0.24413733273341667,0.7784288634288612,-0.7510806498443038,0.7635269604602287,0.38526770480453915,7,5,3
NA,1,2,2,1,85,12,-8,-0.5657813084787797,-1.0540463122275376,-0.6097271950588146,-0.22704428944320984,-1.003743945895846,1,1,7
