pintr_dif,polint_pre,polint_post,O_sd,C_sd,E_sd,A_sd,N_sd,male,age,education,ideology,W3_f15771a,W3_f15771f,W3_f15770d
0,2,2,-0.3660918103984169,-0.0758834278898297,-0.3537754302614303,0.3623747928552353,-0.06552095061340506,0,23,5,5,5,5,5
0,3,3,-0.636315237860113,0.15941600772637787,0.21913573958458984,0.03843280315177083,-0.4188494509152429,0,61,7,6,4,3,5
0,3,3,0.26442952034554085,-0.7817817347384524,-0.06731984533842024,-0.6094511762551581,0.11114329953751388,1,66,5,10,7,7,8
0,3,3,0.35450399616610623,0.15941600772637787,-0.16280504031275692,0.5783361193242116,-0.5071815759907023,0,77,12,5,8,10,5
NA,NA,NA,NA,NA,NA,NA,NA,0,55,5,5,NA,NA,NA
1,2,1,0.26442952034554085,0.15941600772637787,0.12365054461025315,-0.2855091865516936,0.022811174462054412,1,36,12,5,7,8,7
NA,NA,NA,NA,NA,NA,NA,NA,1,38,3,0,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,35,5,4,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,47,10,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,1,31,13,5,NA,NA,NA
NA,3,NA,NA,NA,NA,NA,NA,1,39,5,8,NA,NA,NA
0,4,4,-0.0958683829367207,NA,-0.5447458202101036,0.902278109027676,0.4644717998393518,0,87,13,1,10,5,3
NA,3,NA,NA,NA,NA,NA,NA,0,70,6,10,NA,NA,NA
NA,NA,4,0.35450399616610623,0.39471544334258546,0.41010612953326325,0.5783361193242116,-0.7721779512170808,0,58,7,NA,9,9,5
NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,6,NA,NA,NA
0,3,3,-0.18594285875728608,0.39471544334258546,0.5055913245075999,-0.6094511762551581,1.082796675367568,0,22,13,6,5,6,6
1,4,3,0.8048763752689332,0.39471544334258546,-0.16280504031275692,-0.3934898497861818,-0.15385307568886453,1,55,11,7,9,9,10
0,3,3,-0.45616628621898225,0.630014878958793,-1.4041125749791339,0.7942974457931878,0.906132425216649,0,66,5,3,8,6,0
0,2,2,-0.9966131411423745,-0.7817817347384524,-0.16280504031275692,-0.6094511762551581,-0.15385307568886453,0,50,5,8,1,2,5
0,3,3,-0.005793907116155319,-0.0758834278898297,-0.06731984533842024,0.4703554560897234,-0.33051732583978344,1,35,8,4,3,9,7
NA,NA,NA,NA,NA,NA,NA,NA,0,83,2,NA,NA,NA,NA
0,3,3,0.6247274236278024,-0.5464822991222449,0.41010612953326325,0.4703554560897234,-0.4188494509152429,1,62,13,8,8,9,9
NA,NA,NA,NA,NA,NA,NA,NA,0,53,5,10,NA,NA,NA
0,2,2,-0.5462407620395476,-0.19353314569793348,-0.3537754302614303,0.03843280315177083,0.2878075496884328,1,32,11,10,3,5,5
NA,NA,NA,NA,NA,NA,NA,NA,0,70,7,5,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,1,48,13,3,NA,NA,NA
0,4,4,-0.45616628621898225,-0.42883258131414104,0.31462093455892653,-0.5014705130206699,-0.4188494509152429,1,24,13,8,1,6,7
NA,NA,2,-0.3660918103984169,-0.0758834278898297,0.31462093455892653,0.25439412962074714,0.11114329953751388,0,30,13,3,6,4,5
0,3,3,-0.5462407620395476,-1.01708117035466,-0.7357162101587771,-0.7174318394896462,0.11114329953751388,1,70,13,4,5,3,5
0,3,3,-0.636315237860113,-0.0758834278898297,0.21913573958458984,0.25439412962074714,-0.33051732583978344,1,21,8,7,2,5,5
1,4,3,0.7148018994483678,-1.01708117035466,-0.2582902352870936,-0.2855091865516936,0.11114329953751388,1,77,13,2,10,9,8
0,3,3,0.26442952034554085,0.7476645967668968,-0.5447458202101036,-0.2855091865516936,0.6411360499902706,1,58,5,5,5,9,8
NA,NA,4,0.26442952034554085,-1.2523806059708675,0.31462093455892653,-0.5014705130206699,0.19947542461297335,1,22,13,4,7,8,7
NA,NA,NA,NA,NA,NA,NA,NA,0,44,5,4,NA,NA,NA
1,4,3,-0.0958683829367207,0.630014878958793,0.02816534963591646,0.4703554560897234,-0.24218520076432398,0,53,13,7,5,7,6
0,2,2,0.17435504452497544,0.04176628991827409,0.02816534963591646,-0.06954786008271732,-0.24218520076432398,0,54,11,NA,5,8,8
