election,placebo,pintr,pintr_placebo,male,age,edu,ideology,O_sd,C_sd,E_sd,A_sd,N_sd,p09c64,p09c69
NA,NA,0,0,1,23,0,NA,0.9918396332933861,0.03215883270365715,0.8979341910702665,0.2391320955133061,-0.43236252201148023,10,10
NA,NA,5,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,70,4,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,8,6,0,71,4,NA,0.4559244508871063,0.19609044331498324,-0.4283595078965045,0.4159887852276018,-0.28730984949472316,8,8
NA,1,2,3,0,47,10,4,-0.34794832272231363,0.360022053926309,-0.4283595078965045,-0.822008042772467,-0.867520539561751,5,5
NA,NA,8,7,1,47,10,3,0.32194565528553626,-0.29570438851899467,0.234787341586881,0.5928454749418971,0.0027954955387905684,8,7
NA,NA,NA,NA,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,9,10,1,46,5,8,0.32194565528553626,-0.7874992203529724,-0.4283595078965045,0.5928454749418971,-0.43236252201148023,9,6
NA,NA,NA,5,1,47,10,3,-0.21396952712074355,0.523953664537635,-0.5609888777931816,-0.11458128391528485,-0.14225717697796647,6,5
NA,NA,NA,NA,0,46,10,6,-0.07999073151917374,-0.9514308309642983,-0.2957301379998273,-0.11458128391528485,-0.28730984949472316,7,5
NA,NA,NA,NA,0,17,1,NA,-0.21396952712074355,-0.6235676097416465,-0.2957301379998273,-0.822008042772467,-1.0125732120785078,5,6
NA,NA,NA,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,8,8,1,52,4,0,0.4559244508871063,-0.9514308309642983,-0.2957301379998273,-0.4682946633438758,-0.43236252201148023,8,8
NA,NA,2,2,0,47,4,NA,-0.6159059139254536,0.8518168857602868,0.10215797169020377,0.06227540579901044,-0.43236252201148023,5,3
NA,NA,0,2,1,23,4,NA,-0.07999073151917374,-0.1317727779076686,0.234787341586881,-0.2914379736295805,0.2929008405723043,6,6
NA,1,NA,0,1,20,0,NA,0.32194565528553626,0.03215883270365715,0.6326754512769124,0.946558854370488,1.018164203156089,10,5
NA,NA,6,7,0,48,7,3,0.18796685968396615,-0.1317727779076686,-0.4283595078965045,-0.6451513530581715,-0.5774151945282371,6,8
NA,NA,8,8,1,57,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,2,1,0,32,10,6,-0.07999073151917374,0.19609044331498324,-0.16310076810315038,0.06227540579901044,0.0027954955387905684,5,7
NA,NA,4,4,1,33,10,7,-0.07999073151917374,0.19609044331498324,-0.5609888777931816,0.06227540579901044,0.43795351308906133,5,7
